bank_entry_id,utr,merchant_id,value_date,amount,currency,description,reference
BANK_42_1,UTR42000001,M_1001,2026-08-26T05:31:55.732132Z,1668106,INR,settlement credit,SET_42_1
BANK_42_2,UTR42000002,M_1001,2026-08-28T05:31:55.732151Z,2111742,INR,settlement credit,SET_42_2
BANK_42_3,UTR42000003,M_1001,2026-08-25T05:31:55.732159Z,1896044,INR,settlement credit,SET_42_3
BANK_42_4,UTR42000004,M_1001,2026-08-24T05:31:55.732164Z,1898906,INR,settlement credit,SET_42_4
BANK_42_5,UTR42000005,M_1001,2026-08-25T05:31:55.732168Z,1891434,INR,settlement credit,SET_42_5
BANK_42_6,UTR42000006,M_1001,2026-08-24T05:31:55.732171Z,1761679,INR,settlement credit,SET_42_6
BANK_42_7,UTR42000007,M_1001,2026-08-26T05:31:55.732175Z,2727695,INR,settlement credit,SET_42_7
BANK_42_8,UTR42000008,M_1001,2026-08-26T05:31:55.732179Z,1873876,INR,settlement credit,SET_42_8
BANK_42_9,UTR42000009,M_1001,2026-08-24T05:31:55.732182Z,1918870,INR,settlement credit,SET_42_9
BANK_42_10,UTR42000010,M_1001,2026-08-25T05:31:55.732186Z,2244309,INR,settlement credit,SET_42_10
BANK_42_11,UTR42000011,M_1001,2026-08-25T05:31:55.732189Z,1725933,INR,settlement credit,SET_42_11
BANK_42_12,UTR42000012,M_1001,2026-08-24T05:31:55.732193Z,2254366,INR,settlement credit,SET_42_12
BANK_42_13,UTR42000013,M_1001,2026-08-28T05:31:55.732196Z,2115137,INR,settlement credit,SET_42_13
BANK_42_14,UTR42000014,M_1001,2026-08-25T05:31:55.732200Z,1902949,INR,settlement credit,SET_42_14
BANK_42_15,UTR42000015,M_1001,2026-08-23T05:31:55.732203Z,1986460,INR,settlement credit,SET_42_15
BANK_42_16,UTR42000016,M_1001,2026-08-28T05:31:55.732207Z,2106383,INR,settlement credit,SET_42_16
BANK_42_17,UTR42000017,M_1001,2026-08-28T05:31:55.732210Z,2313634,INR,settlement credit,SET_42_17
BANK_42_18,UTR42000018,M_1001,2026-08-28T05:31:55.732214Z,2154393,INR,settlement credit,SET_42_18
BANK_42_19,UTR42000019,M_1001,2026-08-26T05:31:55.732218Z,2273086,INR,settlement credit,SET_42_19
BANK_42_20,UTR42000020,M_1001,2026-08-25T05:31:55.732221Z,2297549,INR,settlement credit,SET_42_20
BANK_42_21,UTR42000021,M_1001,2026-08-23T05:31:55.732225Z,855741,INR,settlement credit,SET_42_21
