journal_entry_id,merchant_id,reference_id,entry_date,account,debit,credit,description,currency
JE_PAY_42_1,M_1001,PAY_42_1,2026-07-31T05:31:55.729623Z,cash,6656,0,payment recorded,INR
JE_PAY_42_2,M_1001,PAY_42_2,2026-08-26T05:31:55.729646Z,cash,36679,0,payment recorded,INR
JE_PAY_42_3,M_1001,PAY_42_3,2026-08-16T05:31:55.729654Z,cash,143064,0,payment recorded,INR
JE_PAY_42_4,M_1001,PAY_42_4,2026-08-27T05:31:55.729658Z,cash,7911,0,payment recorded,INR
JE_PAY_42_5,M_1001,PAY_42_5,2026-08-10T05:31:55.729662Z,cash,170463,0,payment recorded,INR
JE_PAY_42_6,M_1001,PAY_42_6,2026-08-10T05:31:55.729666Z,cash,117857,0,payment recorded,INR
JE_PAY_42_7,M_1001,PAY_42_7,2026-08-01T05:31:55.729669Z,cash,41953,0,payment recorded,INR
JE_PAY_42_8,M_1001,PAY_42_8,2026-07-31T05:31:55.729673Z,cash,40858,0,payment recorded,INR
JE_PAY_42_9,M_1001,PAY_42_9,2026-08-21T05:31:55.729676Z,cash,24412,0,payment recorded,INR
JE_PAY_42_10,M_1001,PAY_42_10,2026-08-08T05:31:55.729679Z,cash,90265,0,payment recorded,INR
JE_PAY_42_11,M_1001,PAY_42_11,2026-08-12T05:31:55.729683Z,cash,120535,0,payment recorded,INR
JE_PAY_42_12,M_1001,PAY_42_12,2026-08-24T05:31:55.729686Z,cash,144814,0,payment recorded,INR
JE_PAY_42_13,M_1001,PAY_42_13,2026-08-10T05:31:55.729690Z,cash,94900,0,payment recorded,INR
JE_PAY_42_14,M_1001,PAY_42_14,2026-08-11T05:31:55.729693Z,cash,12112,0,payment recorded,INR
JE_PAY_42_15,M_1001,PAY_42_15,2026-07-29T05:31:55.729700Z,cash,61124,0,payment recorded,INR
JE_PAY_42_16,M_1001,PAY_42_16,2026-08-03T05:31:55.729704Z,cash,118958,0,payment recorded,INR
JE_PAY_42_17,M_1001,PAY_42_17,2026-08-27T05:31:55.729708Z,cash,97140,0,payment recorded,INR
JE_PAY_42_18,M_1001,PAY_42_18,2026-08-28T05:31:55.729711Z,cash,184077,0,payment recorded,INR
JE_PAY_42_19,M_1001,PAY_42_19,2026-08-26T05:31:55.729715Z,cash,159780,0,payment recorded,INR
JE_PAY_42_20,M_1001,PAY_42_20,2026-08-03T05:31:55.729718Z,cash,64275,0,payment recorded,INR
JE_PAY_42_21,M_1001,PAY_42_21,2026-08-18T05:31:55.729721Z,cash,167872,0,payment recorded,INR
JE_PAY_42_22,M_1001,PAY_42_22,2026-08-08T05:31:55.729725Z,cash,85108,0,payment recorded,INR
JE_PAY_42_23,M_1001,PAY_42_23,2026-08-02T05:31:55.729728Z,cash,8514,0,payment recorded,INR
JE_PAY_42_24,M_1001,PAY_42_24,2026-08-27T05:31:55.729731Z,cash,17450,0,payment recorded,INR
JE_PAY_42_25,M_1001,PAY_42_25,2026-08-02T05:31:55.729735Z,cash,188296,0,payment recorded,INR
JE_PAY_42_26,M_1001,PAY_42_26,2026-08-28T05:31:55.729738Z,cash,103812,0,payment recorded,INR
JE_PAY_42_27,M_1001,PAY_42_27,2026-08-24T05:31:55.729743Z,cash,37552,0,payment recorded,INR
JE_PAY_42_28,M_1001,PAY_42_28,2026-08-11T05:31:55.729747Z,cash,147259,0,payment recorded,INR
JE_PAY_42_29,M_1001,PAY_42_29,2026-07-30T05:31:55.729750Z,cash,112411,0,payment recorded,INR
JE_PAY_42_30,M_1001,PAY_42_30,2026-08-19T05:31:55.729754Z,cash,129472,0,payment recorded,INR
JE_PAY_42_31,M_1001,PAY_42_31,2026-08-12T05:31:55.729757Z,cash,28843,0,payment recorded,INR
JE_PAY_42_32,M_1001,PAY_42_32,2026-08-18T05:31:55.729760Z,cash,178484,0,payment recorded,INR
JE_PAY_42_33,M_1001,PAY_42_33,2026-07-29T05:31:55.729764Z,cash,100139,0,payment recorded,INR
JE_PAY_42_34,M_1001,PAY_42_34,2026-08-06T05:31:55.729767Z,cash,189032,0,payment recorded,INR
JE_PAY_42_35,M_1001,PAY_42_35,2026-07-30T05:31:55.729770Z,cash,70046,0,payment recorded,INR
JE_PAY_42_36,M_1001,PAY_42_36,2026-08-04T05:31:55.729773Z,cash,77039,0,payment recorded,INR
JE_PAY_42_37,M_1001,PAY_42_37,2026-08-26T05:31:55.729776Z,cash,189392,0,payment recorded,INR
JE_PAY_42_38,M_1001,PAY_42_38,2026-08-16T05:31:55.729780Z,cash,199843,0,payment recorded,INR
JE_PAY_42_39,M_1001,PAY_42_39,2026-08-06T05:31:55.729783Z,cash,164018,0,payment recorded,INR
JE_PAY_42_40,M_1001,PAY_42_40,2026-08-13T05:31:55.729786Z,cash,159737,0,payment recorded,INR
JE_PAY_42_41,M_1001,PAY_42_41,2026-08-17T05:31:55.729789Z,cash,42449,0,payment recorded,INR
JE_PAY_42_42,M_1001,PAY_42_42,2026-08-24T05:31:55.729793Z,cash,249,0,payment recorded,INR
JE_PAY_42_43,M_1001,PAY_42_43,2026-08-13T05:31:55.729796Z,cash,29425,0,payment recorded,INR
JE_PAY_42_44,M_1001,PAY_42_44,2026-08-14T05:31:55.729799Z,cash,15284,0,payment recorded,INR
JE_PAY_42_45,M_1001,PAY_42_45,2026-08-02T05:31:55.729803Z,cash,20745,0,payment recorded,INR
JE_PAY_42_46,M_1001,PAY_42_46,2026-08-26T05:31:55.729806Z,cash,33067,0,payment recorded,INR
JE_PAY_42_47,M_1001,PAY_42_47,2026-08-14T05:31:55.729811Z,cash,144227,0,payment recorded,INR
JE_PAY_42_48,M_1001,PAY_42_48,2026-08-05T05:31:55.729814Z,cash,159114,0,payment recorded,INR
JE_PAY_42_49,M_1001,PAY_42_49,2026-08-06T05:31:55.729817Z,cash,141473,0,payment recorded,INR
JE_PAY_42_50,M_1001,PAY_42_50,2026-08-11T05:31:55.729820Z,cash,186995,0,payment recorded,INR
JE_PAY_42_51,M_1001,PAY_42_51,2026-08-09T05:31:55.729823Z,cash,97989,0,payment recorded,INR
JE_PAY_42_52,M_1001,PAY_42_52,2026-08-25T05:31:55.729826Z,cash,31820,0,payment recorded,INR
JE_PAY_42_53,M_1001,PAY_42_53,2026-08-15T05:31:55.729830Z,cash,5614,0,payment recorded,INR
JE_PAY_42_54,M_1001,PAY_42_54,2026-08-21T05:31:55.729833Z,cash,15533,0,payment recorded,INR
JE_PAY_42_55,M_1001,PAY_42_55,2026-08-18T05:31:55.729836Z,cash,86719,0,payment recorded,INR
