order_id,merchant_id,merchant_reference,customer_id,created_at,currency,gross_amount,status
ORD_42_1,M_1001,REF_1,CUST_41906,2026-08-25T05:31:55.719330Z,INR,6656,paid
ORD_42_2,M_1001,REF_2,CUST_16050,2026-08-21T05:31:55.719383Z,INR,36679,paid
ORD_42_3,M_1001,REF_3,CUST_44349,2026-08-05T05:31:55.719395Z,INR,143064,paid
ORD_42_4,M_1001,REF_4,CUST_27652,2026-08-27T05:31:55.719402Z,INR,7911,paid
ORD_42_5,M_1001,REF_5,CUST_15248,2026-08-12T05:31:55.719407Z,INR,157915,created
ORD_42_6,M_1001,REF_6,CUST_13032,2026-08-06T05:31:55.719412Z,INR,170463,paid
ORD_42_7,M_1001,REF_7,CUST_27494,2026-08-21T05:31:55.719417Z,INR,117857,paid
ORD_42_8,M_1001,REF_8,CUST_426,2026-08-04T05:31:55.719422Z,INR,41953,paid
ORD_42_9,M_1001,REF_9,CUST_22299,2026-08-20T05:31:55.719426Z,INR,40858,paid
ORD_42_10,M_1001,REF_10,CUST_22060,2026-08-25T05:31:55.719431Z,INR,24412,paid
ORD_42_11,M_1001,REF_11,CUST_23527,2026-08-01T05:31:55.719436Z,INR,90265,paid
ORD_42_12,M_1001,REF_12,CUST_2848,2026-08-05T05:31:55.719440Z,INR,120535,paid
ORD_42_13,M_1001,REF_13,CUST_24808,2026-08-26T05:31:55.719445Z,INR,144814,paid
ORD_42_14,M_1001,REF_14,CUST_41199,2026-08-09T05:31:55.719449Z,INR,94900,paid
ORD_42_15,M_1001,REF_15,CUST_46175,2026-08-26T05:31:55.719454Z,INR,12112,paid
ORD_42_16,M_1001,REF_16,CUST_18966,2026-08-26T05:31:55.719458Z,INR,61124,paid
ORD_42_17,M_1001,REF_17,CUST_24912,2026-08-20T05:31:55.719463Z,INR,118958,paid
ORD_42_18,M_1001,REF_18,CUST_23910,2026-08-23T05:31:55.719468Z,INR,97140,paid
ORD_42_19,M_1001,REF_19,CUST_43921,2026-08-20T05:31:55.719472Z,INR,184077,paid
ORD_42_20,M_1001,REF_20,CUST_42470,2026-08-26T05:31:55.719477Z,INR,159780,paid
ORD_42_21,M_1001,REF_21,CUST_35006,2026-08-05T05:31:55.719481Z,INR,64275,paid
ORD_42_22,M_1001,REF_22,CUST_24868,2026-08-20T05:31:55.719486Z,INR,167872,paid
ORD_42_23,M_1001,REF_23,CUST_14393,2026-08-07T05:31:55.719490Z,INR,85108,paid
ORD_42_24,M_1001,REF_24,CUST_3666,2026-08-21T05:31:55.719495Z,INR,8514,paid
ORD_42_25,M_1001,REF_25,CUST_26291,2026-08-20T05:31:55.719501Z,INR,17450,paid
ORD_42_26,M_1001,REF_26,CUST_37171,2026-07-31T05:31:55.719514Z,INR,188296,paid
ORD_42_27,M_1001,REF_27,CUST_42955,2026-08-13T05:31:55.719519Z,INR,103812,paid
ORD_42_28,M_1001,REF_28,CUST_42130,2026-08-14T05:31:55.719524Z,INR,37552,paid
ORD_42_29,M_1001,REF_29,CUST_16163,2026-08-05T05:31:55.719531Z,INR,147259,paid
ORD_42_30,M_1001,REF_30,CUST_48957,2026-08-10T05:31:55.719535Z,INR,112411,paid
ORD_42_31,M_1001,REF_31,CUST_26176,2026-08-17T05:31:55.719540Z,INR,57593,cancelled
ORD_42_32,M_1001,REF_32,CUST_9066,2026-08-12T05:31:55.719544Z,INR,129472,paid
ORD_42_33,M_1001,REF_33,CUST_3088,2026-08-01T05:31:55.719549Z,INR,28843,paid
ORD_42_34,M_1001,REF_34,CUST_10485,2026-08-03T05:31:55.719553Z,INR,178484,paid
ORD_42_35,M_1001,REF_35,CUST_4164,2026-08-16T05:31:55.719557Z,INR,100139,paid
ORD_42_36,M_1001,REF_36,CUST_30675,2026-08-12T05:31:55.719562Z,INR,66006,cancelled
ORD_42_37,M_1001,REF_37,CUST_753,2026-08-07T05:31:55.719566Z,INR,189032,paid
ORD_42_38,M_1001,REF_38,CUST_35191,2026-08-04T05:31:55.719571Z,INR,70046,paid
ORD_42_39,M_1001,REF_39,CUST_22294,2026-08-25T05:31:55.719575Z,INR,77039,paid
ORD_42_40,M_1001,REF_40,CUST_29736,2026-08-28T05:31:55.719579Z,INR,189392,paid
ORD_42_41,M_1001,REF_41,CUST_17262,2026-08-12T05:31:55.719587Z,INR,199843,paid
ORD_42_42,M_1001,REF_42,CUST_6974,2026-08-01T05:31:55.719592Z,INR,164018,paid
ORD_42_43,M_1001,REF_43,CUST_41875,2026-08-12T05:31:55.719596Z,INR,159737,paid
ORD_42_44,M_1001,REF_44,CUST_24505,2026-08-04T05:31:55.719601Z,INR,42449,paid
ORD_42_45,M_1001,REF_45,CUST_34758,2026-07-30T05:31:55.719606Z,INR,249,paid
ORD_42_46,M_1001,REF_46,CUST_32022,2026-08-28T05:31:55.719611Z,INR,29425,paid
ORD_42_47,M_1001,REF_47,CUST_20154,2026-08-21T05:31:55.719615Z,INR,15284,paid
ORD_42_48,M_1001,REF_48,CUST_37183,2026-07-29T05:31:55.719620Z,INR,20745,paid
ORD_42_49,M_1001,REF_49,CUST_31850,2026-08-02T05:31:55.719625Z,INR,18243,cancelled
ORD_42_50,M_1001,REF_50,CUST_34912,2026-08-04T05:31:55.719630Z,INR,33067,paid
ORD_42_51,M_1001,REF_51,CUST_31149,2026-07-29T05:31:55.719635Z,INR,144227,paid
ORD_42_52,M_1001,REF_52,CUST_34582,2026-08-01T05:31:55.719639Z,INR,159114,paid
ORD_42_53,M_1001,REF_53,CUST_13881,2026-07-30T05:31:55.719643Z,INR,141473,paid
