payment_id,order_id,customer_id,amount,currency,method,status,captured_at,created_at
PAY_42_1,ORD_42_1,CUST_30313,6656,INR,netbanking,captured,2026-08-06T05:31:55.723710Z,2026-08-06T05:31:55.723710Z
PAY_42_2,ORD_42_2,CUST_29701,36679,INR,card,captured,2026-08-06T05:31:55.723742Z,2026-08-06T05:31:55.723742Z
PAY_42_3,ORD_42_3,CUST_33691,143064,INR,card,captured,2026-08-09T05:31:55.723751Z,2026-08-09T05:31:55.723751Z
PAY_42_4,ORD_42_4,CUST_25817,7911,INR,wallet,captured,2026-08-17T05:31:55.723756Z,2026-08-17T05:31:55.723756Z
PAY_42_5,ORD_42_6,CUST_8163,170463,INR,card,captured,2026-08-01T05:31:55.723761Z,2026-08-01T05:31:55.723761Z
PAY_42_6,ORD_42_7,CUST_33583,117857,INR,netbanking,captured,2026-08-25T05:31:55.723766Z,2026-08-25T05:31:55.723766Z
PAY_42_7,ORD_42_8,CUST_39140,41953,INR,wallet,captured,2026-08-24T05:31:55.723770Z,2026-08-24T05:31:55.723770Z
PAY_42_8,ORD_42_9,CUST_24703,40858,INR,netbanking,failed,,2026-08-20T05:31:55.723775Z
PAY_42_9,ORD_42_10,CUST_12231,24412,INR,card,captured,2026-08-10T05:31:55.723780Z,2026-08-10T05:31:55.723780Z
PAY_42_10,ORD_42_11,CUST_19410,90265,INR,netbanking,failed,,2026-08-02T05:31:55.723784Z
PAY_42_11,ORD_42_12,CUST_38298,120535,INR,card,captured,2026-08-26T05:31:55.723793Z,2026-08-26T05:31:55.723793Z
PAY_42_12,ORD_42_13,CUST_6167,144814,INR,card,captured,2026-08-08T05:31:55.723798Z,2026-08-08T05:31:55.723798Z
PAY_42_13,ORD_42_14,CUST_21639,94900,INR,upi,captured,2026-08-14T05:31:55.723803Z,2026-08-14T05:31:55.723803Z
PAY_42_14,ORD_42_15,CUST_10933,12112,INR,wallet,captured,2026-08-06T05:31:55.723807Z,2026-08-06T05:31:55.723807Z
PAY_42_15,ORD_42_16,CUST_3284,61124,INR,upi,captured,2026-08-26T05:31:55.723811Z,2026-08-26T05:31:55.723811Z
