refund_id,payment_id,order_id,amount,currency,status,created_at,processed_at,reason
REFN_42_1,PAY_42_6,ORD_42_7,58928,INR,processed,2026-08-10T05:31:55.727032Z,2026-08-28T05:31:55.727086Z,requested_by_customer
REFN_42_2,PAY_42_36,ORD_42_39,77039,INR,pending,2026-08-06T05:31:55.727111Z,2026-08-27T05:31:55.727114Z,other
REFN_42_3,PAY_42_50,ORD_42_54,93497,INR,pending,2026-08-10T05:31:55.727123Z,2026-08-04T05:31:55.727126Z,other
REFN_42_4,PAY_42_61,ORD_42_66,191222,INR,processed,2026-08-25T05:31:55.727132Z,2026-08-24T05:31:55.727134Z,requested_by_customer
REFN_42_5,PAY_42_66,ORD_42_71,144364,INR,processed,2026-08-23T05:31:55.727139Z,2026-08-06T05:31:55.727141Z,other
REFN_42_6,PAY_42_99,ORD_42_108,19586,INR,pending,2026-08-11T05:31:55.727153Z,2026-08-13T05:31:55.727155Z,requested_by_customer
REFN_42_7,PAY_42_112,ORD_42_123,168260,INR,pending,2026-07-29T05:31:55.727166Z,2026-08-08T05:31:55.727168Z,other
REFN_42_8,PAY_42_123,ORD_42_134,78827,INR,processed,2026-08-28T05:31:55.727174Z,2026-08-11T05:31:55.727175Z,other
REFN_42_9,PAY_42_144,ORD_42_156,99042,INR,processed,2026-08-25T05:31:55.727181Z,2026-08-22T05:31:55.727183Z,requested_by_customer
REFN_42_10,PAY_42_184,ORD_42_199,1708,INR,processed,2026-08-15T05:31:55.727191Z,2026-08-15T05:31:55.727193Z,fraud
REFN_42_11,PAY_42_193,ORD_42_209,42650,INR,pending,2026-08-07T05:31:55.727211Z,2026-08-07T05:31:55.727213Z,fraud
REFN_42_12,PAY_42_197,ORD_42_213,64088,INR,pending,2026-08-08T05:31:55.727218Z,2026-08-21T05:31:55.727220Z,other
REFN_42_13,PAY_42_199,ORD_42_215,4620,INR,pending,2026-08-23T05:31:55.727225Z,2026-08-27T05:31:55.727227Z,other
REFN_42_14,PAY_42_200,ORD_42_216,90723,INR,processed,2026-08-19T05:31:55.727231Z,2026-08-16T05:31:55.727233Z,requested_by_customer
REFN_42_15,PAY_42_204,ORD_42_221,41409,INR,processed,2026-07-29T05:31:55.727237Z,2026-08-03T05:31:55.727239Z,requested_by_customer
REFN_42_16,PAY_42_205,ORD_42_222,199903,INR,processed,2026-08-02T05:31:55.727244Z,2026-08-08T05:31:55.727248Z,fraud
REFN_42_17,PAY_42_211,ORD_42_230,37318,INR,processed,2026-08-16T05:31:55.727252Z,2026-08-28T05:31:55.727254Z,other
REFN_42_18,PAY_42_238,ORD_42_261,36508,INR,pending,2026-08-15T05:31:55.727260Z,2026-08-28T05:31:55.727262Z,other
REFN_42_19,PAY_42_240,ORD_42_263,45657,INR,pending,2026-08-22T05:31:55.727266Z,2026-08-22T05:31:55.727268Z,other
REFN_42_20,PAY_42_244,ORD_42_267,119329,INR,pending,2026-08-14T05:31:55.727273Z,2026-08-08T05:31:55.727275Z,other
REFN_42_21,PAY_42_247,ORD_42_271,136005,INR,processed,2026-08-06T05:31:55.727280Z,2026-08-09T05:31:55.727281Z,other
REFN_42_22,PAY_42_263,ORD_42_287,70642,INR,processed,2026-08-15T05:31:55.727288Z,2026-08-13T05:31:55.727291Z,other
REFN_42_23,PAY_42_277,ORD_42_304,195860,INR,pending,2026-08-26T05:31:55.727296Z,2026-08-27T05:31:55.727298Z,requested_by_customer
REFN_42_24,PAY_42_292,ORD_42_323,130314,INR,pending,2026-08-11T05:31:55.727304Z,2026-08-26T05:31:55.727306Z,requested_by_customer
REFN_42_25,PAY_42_303,ORD_42_334,38734,INR,pending,2026-08-17T05:31:55.727312Z,2026-08-15T05:31:55.727313Z,fraud
REFN_42_26,PAY_42_320,ORD_42_354,61995,INR,pending,2026-08-05T05:31:55.727320Z,2026-08-12T05:31:55.727322Z,fraud
REFN_42_27,PAY_42_323,ORD_42_357,16061,INR,pending,2026-08-09T05:31:55.727326Z,2026-08-01T05:31:55.727328Z,fraud
REFN_42_28,PAY_42_324,ORD_42_358,173840,INR,pending,2026-08-25T05:31:55.727333Z,2026-08-18T05:31:55.727335Z,requested_by_customer
REFN_42_29,PAY_42_333,ORD_42_369,97785,INR,processed,2026-08-27T05:31:55.727340Z,2026-08-23T05:31:55.727342Z,requested_by_customer
REFN_42_30,PAY_42_335,ORD_42_371,132178,INR,processed,2026-07-30T05:31:55.727347Z,2026-08-27T05:31:55.727348Z,other
REFN_42_31,PAY_42_338,ORD_42_374,62831,INR,processed,2026-08-15T05:31:55.727353Z,2026-07-31T05:31:55.727355Z,requested_by_customer
REFN_42_32,PAY_42_351,ORD_42_387,56656,INR,pending,2026-08-02T05:31:55.727360Z,2026-08-20T05:31:55.727362Z,other
REFN_42_33,PAY_42_365,ORD_42_402,18826,INR,processed,2026-08-11T05:31:55.727368Z,2026-08-07T05:31:55.727370Z,other
REFN_42_34,PAY_42_388,ORD_42_428,51923,INR,processed,2026-08-08T05:31:55.727375Z,2026-08-15T05:31:55.727377Z,other
REFN_42_35,PAY_42_441,ORD_42_490,7489,INR,pending,2026-08-05T05:31:55.727384Z,2026-08-15T05:31:55.727386Z,fraud
