settlement_id,payment_id,order_id,settlement_date,gross_amount,fee,tax,adjustment,net_amount,status
SET_42_1,PAY_42_1,ORD_42_1,2026-08-26T05:31:55.728051Z,6656,133,23,0,6499,settled
SET_42_1,PAY_42_2,ORD_42_2,2026-08-26T05:31:55.728051Z,36679,733,132,0,35813,settled
SET_42_1,PAY_42_3,ORD_42_3,2026-08-26T05:31:55.728051Z,143064,2861,515,0,139687,settled
SET_42_1,PAY_42_4,ORD_42_4,2026-08-26T05:31:55.728051Z,7911,158,28,0,7724,settled
SET_42_1,PAY_42_5,ORD_42_6,2026-08-26T05:31:55.728051Z,170463,3409,613,0,166440,settled
SET_42_1,PAY_42_6,ORD_42_7,2026-08-26T05:31:55.728051Z,117857,2357,424,0,115075,settled
SET_42_1,PAY_42_7,ORD_42_8,2026-08-26T05:31:55.728051Z,41953,839,151,0,40962,settled
SET_42_1,PAY_42_9,ORD_42_10,2026-08-26T05:31:55.728051Z,24412,488,87,0,23836,settled
SET_42_1,PAY_42_11,ORD_42_12,2026-08-26T05:31:55.728051Z,120535,2410,433,0,117691,settled
SET_42_1,PAY_42_12,ORD_42_13,2026-08-26T05:31:55.728051Z,144814,2896,521,0,141396,settled
SET_42_1,PAY_42_13,ORD_42_14,2026-08-26T05:31:55.728051Z,94900,1898,341,0,92661,settled
SET_42_1,PAY_42_14,ORD_42_15,2026-08-26T05:31:55.728051Z,12112,242,43,0,11826,settled
SET_42_1,PAY_42_15,ORD_42_16,2026-08-26T05:31:55.728051Z,61124,1222,220,0,59681,settled
SET_42_1,PAY_42_16,ORD_42_17,2026-08-26T05:31:55.728051Z,118958,2379,428,0,116150,settled
SET_42_1,PAY_42_17,ORD_42_18,2026-08-26T05:31:55.728051Z,97140,1942,349,0,94848,settled
SET_42_1,PAY_42_18,ORD_42_19,2026-08-26T05:31:55.728051Z,184077,3681,662,0,179733,settled
SET_42_1,PAY_42_20,ORD_42_21,2026-08-26T05:31:55.728051Z,64275,1285,231,0,62758,settled
SET_42_1,PAY_42_21,ORD_42_22,2026-08-26T05:31:55.728051Z,167872,3357,604,0,163910,settled
SET_42_1,PAY_42_22,ORD_42_23,2026-08-26T05:31:55.728051Z,85108,1702,306,0,83099,settled
SET_42_1,PAY_42_23,ORD_42_24,2026-08-26T05:31:55.728051Z,8514,170,30,0,8313,settled
SET_42_2,PAY_42_25,ORD_42_26,2026-08-25T05:31:55.728132Z,188296,3765,677,0,183853,settled
SET_42_2,PAY_42_26,ORD_42_27,2026-08-25T05:31:55.728132Z,103812,2076,373,0,101362,settled
SET_42_2,PAY_42_27,ORD_42_28,2026-08-25T05:31:55.728132Z,37552,751,135,0,36665,settled
SET_42_2,PAY_42_28,ORD_42_29,2026-08-25T05:31:55.728132Z,147259,2945,530,0,143783,settled
SET_42_2,PAY_42_29,ORD_42_30,2026-08-25T05:31:55.728132Z,112411,2248,404,0,109758,settled
SET_42_2,PAY_42_30,ORD_42_32,2026-08-25T05:31:55.728132Z,129472,2589,466,0,126416,settled
SET_42_2,PAY_42_31,ORD_42_33,2026-08-25T05:31:55.728132Z,28843,576,103,0,28163,settled
SET_42_2,PAY_42_32,ORD_42_34,2026-08-25T05:31:55.728132Z,178484,3569,642,0,174272,settled
SET_42_2,PAY_42_33,ORD_42_35,2026-08-25T05:31:55.728132Z,100139,2002,360,0,97776,settled
SET_42_2,PAY_42_34,ORD_42_37,2026-08-25T05:31:55.728132Z,189032,3780,680,0,184571,settled
SET_42_2,PAY_42_35,ORD_42_38,2026-08-25T05:31:55.728132Z,70046,1400,252,0,68393,settled
SET_42_2,PAY_42_36,ORD_42_39,2026-08-25T05:31:55.728132Z,77039,1540,277,0,75221,settled
SET_42_2,PAY_42_37,ORD_42_40,2026-08-25T05:31:55.728132Z,189392,3787,681,0,184923,settled
SET_42_2,PAY_42_38,ORD_42_41,2026-08-25T05:31:55.728132Z,199843,3996,719,0,195127,settled
SET_42_2,PAY_42_39,ORD_42_42,2026-08-25T05:31:55.728132Z,164018,3280,590,0,160147,settled
SET_42_2,PAY_42_40,ORD_42_43,2026-08-25T05:31:55.728132Z,159737,3194,575,0,155967,settled
SET_42_2,PAY_42_41,ORD_42_44,2026-08-25T05:31:55.728132Z,42449,848,152,0,41448,settled
SET_42_2,PAY_42_42,ORD_42_45,2026-08-25T05:31:55.728132Z,249,4,0,0,244,settled
SET_42_2,PAY_42_43,ORD_42_46,2026-08-25T05:31:55.728132Z,29425,588,105,0,28731,settled
SET_42_2,PAY_42_44,ORD_42_47,2026-08-25T05:31:55.728132Z,15284,305,55,0,14923,settled
SET_42_3,PAY_42_45,ORD_42_48,2026-08-25T05:31:55.728187Z,20745,414,74,0,20256,settled
SET_42_3,PAY_42_46,ORD_42_50,2026-08-25T05:31:55.728187Z,33067,661,119,0,32286,settled
SET_42_3,PAY_42_47,ORD_42_51,2026-08-25T05:31:55.728187Z,144227,2884,519,0,140823,settled
SET_42_3,PAY_42_48,ORD_42_52,2026-08-25T05:31:55.728187Z,159114,3182,572,0,155359,settled
SET_42_3,PAY_42_49,ORD_42_53,2026-08-25T05:31:55.728187Z,141473,2829,509,0,138134,settled
SET_42_3,PAY_42_50,ORD_42_54,2026-08-25T05:31:55.728187Z,186995,3739,673,0,182582,settled
SET_42_3,PAY_42_51,ORD_42_55,2026-08-25T05:31:55.728187Z,97989,1959,352,0,95677,settled
SET_42_3,PAY_42_52,ORD_42_56,2026-08-25T05:31:55.728187Z,31820,636,114,0,31069,settled
SET_42_3,PAY_42_53,ORD_42_57,2026-08-25T05:31:55.728187Z,5614,112,20,0,5481,settled
SET_42_3,PAY_42_54,ORD_42_59,2026-08-25T05:31:55.728187Z,15533,310,55,0,15167,settled
SET_42_3,PAY_42_55,ORD_42_60,2026-08-25T05:31:55.728187Z,86719,1734,312,0,84672,settled
SET_42_3,PAY_42_57,ORD_42_62,2026-08-25T05:31:55.728187Z,189722,3794,682,0,185245,settled
SET_42_3,PAY_42_58,ORD_42_63,2026-08-25T05:31:55.728187Z,124007,2480,446,0,121080,settled
SET_42_3,PAY_42_59,ORD_42_64,2026-08-25T05:31:55.728187Z,106808,2136,384,0,104287,settled
SET_42_3,PAY_42_60,ORD_42_65,2026-08-25T05:31:55.728187Z,113097,2261,407,0,110428,settled
SET_42_3,PAY_42_61,ORD_42_66,2026-08-25T05:31:55.728187Z,191222,3824,688,0,186709,settled
SET_42_3,PAY_42_62,ORD_42_67,2026-08-25T05:31:55.728187Z,25899,517,93,0,25288,settled
SET_42_3,PAY_42_63,ORD_42_68,2026-08-25T05:31:55.728187Z,28744,574,103,0,28066,settled
SET_42_3,PAY_42_64,ORD_42_69,2026-08-25T05:31:55.728187Z,117701,2354,423,0,114923,settled
SET_42_3,PAY_42_65,ORD_42_70,2026-08-25T05:31:55.728187Z,121375,2427,436,0,118511,settled
SET_42_4,PAY_42_66,ORD_42_71,2026-08-26T05:31:55.728228Z,144364,2887,519,0,140957,settled
SET_42_4,PAY_42_68,ORD_42_74,2026-08-26T05:31:55.728228Z,56132,1122,202,0,54807,settled
SET_42_4,PAY_42_69,ORD_42_76,2026-08-26T05:31:55.728228Z,119377,2387,429,0,116560,settled
SET_42_4,PAY_42_70,ORD_42_78,2026-08-26T05:31:55.728228Z,188426,3768,678,0,183979,settled
SET_42_4,PAY_42_71,ORD_42_80,2026-08-26T05:31:55.728228Z,142233,2844,512,0,138876,settled
SET_42_4,PAY_42_72,ORD_42_81,2026-08-26T05:31:55.728228Z,13244,264,47,0,12932,settled
SET_42_4,PAY_42_73,ORD_42_82,2026-08-26T05:31:55.728228Z,139331,2786,501,0,136043,settled
SET_42_4,PAY_42_74,ORD_42_83,2026-08-26T05:31:55.728228Z,48812,976,175,0,47660,settled
SET_42_4,PAY_42_75,ORD_42_84,2026-08-26T05:31:55.728228Z,61757,1235,222,0,60299,settled
SET_42_4,PAY_42_76,ORD_42_85,2026-08-26T05:31:55.728228Z,151860,3037,546,0,148276,settled
SET_42_4,PAY_42_77,ORD_42_86,2026-08-26T05:31:55.728228Z,109997,2199,395,0,107402,settled
SET_42_4,PAY_42_78,ORD_42_87,2026-08-26T05:31:55.728228Z,83034,1660,298,0,81075,settled
SET_42_4,PAY_42_79,ORD_42_88,2026-08-26T05:31:55.728228Z,187845,3756,676,0,183412,settled
SET_42_4,PAY_42_80,ORD_42_89,2026-08-26T05:31:55.728228Z,34408,688,123,0,33596,settled
SET_42_4,PAY_42_81,ORD_42_90,2026-08-26T05:31:55.728228Z,82983,1659,298,0,81025,settled
SET_42_4,PAY_42_82,ORD_42_91,2026-08-26T05:31:55.728228Z,120236,2404,432,0,117399,settled
SET_42_4,PAY_42_83,ORD_42_92,2026-08-26T05:31:55.728228Z,19304,386,69,0,18848,settled
SET_42_4,PAY_42_84,ORD_42_93,2026-08-26T05:31:55.728228Z,34822,696,125,0,34000,settled
SET_42_4,PAY_42_85,ORD_42_94,2026-08-26T05:31:55.728228Z,64137,1282,230,0,62624,settled
SET_42_4,PAY_42_86,ORD_42_95,2026-08-26T05:31:55.728228Z,142501,2850,513,0,139137,settled
SET_42_5,PAY_42_87,ORD_42_96,2026-08-28T05:31:55.728271Z,171535,3430,617,0,167487,settled
SET_42_5,PAY_42_88,ORD_42_97,2026-08-28T05:31:55.728271Z,145485,2909,523,0,142052,settled
SET_42_5,PAY_42_89,ORD_42_98,2026-08-28T05:31:55.728271Z,35303,706,127,0,34469,settled
SET_42_5,PAY_42_90,ORD_42_99,2026-08-28T05:31:55.728271Z,145124,2902,522,0,141699,settled
SET_42_5,PAY_42_91,ORD_42_100,2026-08-28T05:31:55.728271Z,55315,1106,199,0,54009,settled
SET_42_5,PAY_42_92,ORD_42_101,2026-08-28T05:31:55.728271Z,166361,3327,598,0,162435,settled
SET_42_5,PAY_42_93,ORD_42_102,2026-08-28T05:31:55.728271Z,65929,1318,237,0,64373,settled
SET_42_5,PAY_42_94,ORD_42_103,2026-08-28T05:31:55.728271Z,166373,3327,598,0,162447,settled
SET_42_5,PAY_42_95,ORD_42_104,2026-08-28T05:31:55.728271Z,1029,20,3,0,1005,settled
SET_42_5,PAY_42_96,ORD_42_105,2026-08-28T05:31:55.728271Z,68770,1375,247,0,67147,settled
SET_42_5,PAY_42_97,ORD_42_106,2026-08-28T05:31:55.728271Z,185086,3701,666,0,180718,settled
SET_42_5,PAY_42_98,ORD_42_107,2026-08-28T05:31:55.728271Z,19824,396,71,0,19356,settled
SET_42_5,PAY_42_99,ORD_42_108,2026-08-28T05:31:55.728271Z,39173,783,141,0,38248,settled
SET_42_5,PAY_42_100,ORD_42_109,2026-08-28T05:31:55.728271Z,144941,2898,521,0,141521,settled
SET_42_5,PAY_42_101,ORD_42_110,2026-08-28T05:31:55.728271Z,80908,1618,291,0,78998,settled
SET_42_5,PAY_42_102,ORD_42_111,2026-08-28T05:31:55.728271Z,93897,1877,338,0,91681,settled
SET_42_5,PAY_42_103,ORD_42_112,2026-08-28T05:31:55.728271Z,27046,540,97,0,26408,settled
SET_42_5,PAY_42_104,ORD_42_114,2026-08-28T05:31:55.728271Z,62159,1243,223,0,60692,settled
SET_42_5,PAY_42_105,ORD_42_116,2026-08-28T05:31:55.728271Z,87180,1743,313,0,85123,settled
SET_42_5,PAY_42_106,ORD_42_117,2026-08-28T05:31:55.728271Z,175712,3514,632,0,171565,settled
SET_42_6,PAY_42_107,ORD_42_118,2026-08-26T05:31:55.728311Z,41832,836,150,0,40845,settled
SET_42_6,PAY_42_108,ORD_42_119,2026-08-26T05:31:55.728311Z,10251,205,36,0,10009,settled
SET_42_6,PAY_42_110,ORD_42_121,2026-08-26T05:31:55.728311Z,6303,126,22,0,6154,settled
SET_42_6,PAY_42_111,ORD_42_122,2026-08-26T05:31:55.728311Z,73134,1462,263,0,71408,settled
SET_42_6,PAY_42_112,ORD_42_123,2026-08-26T05:31:55.728311Z,168260,3365,605,0,164289,settled
SET_42_6,PAY_42_115,ORD_42_126,2026-08-26T05:31:55.728311Z,28517,570,102,0,27844,settled
SET_42_6,PAY_42_116,ORD_42_127,2026-08-26T05:31:55.728311Z,82328,1646,296,0,80385,settled
SET_42_6,PAY_42_117,ORD_42_128,2026-08-26T05:31:55.728311Z,101076,2021,363,0,98691,settled
SET_42_6,PAY_42_118,ORD_42_129,2026-08-26T05:31:55.728311Z,11735,234,42,0,11458,settled
SET_42_6,PAY_42_119,ORD_42_130,2026-08-26T05:31:55.728311Z,141251,2825,508,0,137917,settled
SET_42_6,PAY_42_120,ORD_42_131,2026-08-26T05:31:55.728311Z,175901,3518,633,0,171749,settled
SET_42_6,PAY_42_121,ORD_42_132,2026-08-26T05:31:55.728311Z,174225,3484,627,0,170113,settled
SET_42_6,PAY_42_122,ORD_42_133,2026-08-26T05:31:55.728311Z,174003,3480,626,0,169896,settled
SET_42_6,PAY_42_123,ORD_42_134,2026-08-26T05:31:55.728311Z,78827,1576,283,0,76967,settled
SET_42_6,PAY_42_124,ORD_42_135,2026-08-26T05:31:55.728311Z,85606,1712,308,0,83585,settled
SET_42_6,PAY_42_125,ORD_42_136,2026-08-26T05:31:55.728311Z,33467,669,120,0,32677,settled
SET_42_6,PAY_42_127,ORD_42_138,2026-08-26T05:31:55.728311Z,149287,2985,537,0,145764,settled
SET_42_6,PAY_42_128,ORD_42_139,2026-08-26T05:31:55.728311Z,206,4,0,0,201,settled
SET_42_6,PAY_42_129,ORD_42_140,2026-08-26T05:31:55.728311Z,152139,3042,547,0,148549,settled
SET_42_6,PAY_42_130,ORD_42_141,2026-08-26T05:31:55.728311Z,115911,2318,417,0,113175,settled
SET_42_7,PAY_42_131,ORD_42_142,2026-08-26T05:31:55.728364Z,124142,2482,446,0,121213,settled
SET_42_7,PAY_42_132,ORD_42_143,2026-08-26T05:31:55.728364Z,172813,3456,622,0,168734,settled
SET_42_7,PAY_42_133,ORD_42_144,2026-08-26T05:31:55.728364Z,166021,3320,597,0,162103,settled
SET_42_7,PAY_42_134,ORD_42_145,2026-08-26T05:31:55.728364Z,197006,3940,709,0,192356,settled
SET_42_7,PAY_42_135,ORD_42_146,2026-08-26T05:31:55.728364Z,52300,1046,188,0,51066,settled
SET_42_7,PAY_42_136,ORD_42_147,2026-08-26T05:31:55.728364Z,124654,2493,448,0,121712,settled
SET_42_7,PAY_42_137,ORD_42_148,2026-08-26T05:31:55.728364Z,108743,2174,391,0,106177,settled
SET_42_7,PAY_42_138,ORD_42_149,2026-08-26T05:31:55.728364Z,188410,3768,678,0,183963,settled
SET_42_7,PAY_42_139,ORD_42_150,2026-08-26T05:31:55.728364Z,64059,1281,230,0,62547,settled
SET_42_7,PAY_42_140,ORD_42_151,2026-08-26T05:31:55.728364Z,196960,3939,709,0,192311,settled
SET_42_7,PAY_42_141,ORD_42_152,2026-08-26T05:31:55.728364Z,111549,2230,401,0,108917,settled
SET_42_7,PAY_42_142,ORD_42_153,2026-08-26T05:31:55.728364Z,121878,2437,438,0,119002,settled
SET_42_7,PAY_42_143,ORD_42_154,2026-08-26T05:31:55.728364Z,31913,638,114,0,31160,settled
SET_42_7,PAY_42_144,ORD_42_156,2026-08-26T05:31:55.728364Z,198084,3961,713,0,193409,settled
SET_42_7,PAY_42_145,ORD_42_157,2026-08-26T05:31:55.728364Z,188653,3773,679,0,184200,settled
SET_42_7,PAY_42_146,ORD_42_158,2026-08-26T05:31:55.728364Z,143721,2874,517,0,140329,settled
SET_42_7,PAY_42_148,ORD_42_160,2026-08-26T05:31:55.728364Z,167259,3345,602,0,163311,settled
SET_42_7,PAY_42_149,ORD_42_161,2026-08-26T05:31:55.728364Z,164398,3287,591,0,160519,settled
SET_42_7,PAY_42_150,ORD_42_162,2026-08-26T05:31:55.728364Z,187151,3743,673,0,182734,settled
SET_42_7,PAY_42_151,ORD_42_163,2026-08-26T05:31:55.728364Z,83909,1678,302,0,81928,settled
